pair,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2
"('NIQ', 'NUO')",,True,False,False,False
"('NMZ', 'NRK')",,False,False,False,True
"('NXQ', 'NAD')",,False,False,False,False
"('NUV', 'NOM')",,False,False,False,False
"('NVG', 'NMI')",,False,False,False,False
"('NTX', 'NOM')",,False,False,False,False
"('NTX', 'NPV')",,False,False,False,False
"('NVG', 'NPV')",,False,False,True,False
"('NXN', 'NOM')",,False,False,False,False
"('NVG', 'NOM')",,False,False,False,False
"('NXQ', 'NXC')",,False,False,True,False
"('NVG', 'NMS')",,False,False,False,False
"('NID', 'NAN')",,False,False,False,False
"('NUV', 'NAN')",,False,False,False,False
"('NAN', 'NJV')",,False,False,False,False
"('NUM', 'NUW')",,False,False,False,False
"('NHA', 'NKG')",,True,False,False,True
"('NRK', 'NUO')",,True,False,False,False
"('NQP', 'NAC')",,False,False,False,False
"('NAD', 'NXC')",,False,False,True,False
"('NID', 'NOM')",,False,False,False,False
"('NUV', 'NCA')",,True,False,False,False
"('NID', 'NEA')",,False,False,True,False
"('NAN', 'NKX')",,False,False,False,False
"('NMZ', 'NXQ')",,True,False,False,True
"('NJV', 'NAC')",,False,True,False,False
"('NUW', 'NIM')",,False,False,False,False
"('NKX', 'NCB')",,False,False,False,False
"('NVG', 'NIM')",,False,False,False,False
"('NXN', 'NNY')",,False,False,False,False
"('NHA', 'NJV')",,True,False,False,False
"('NPN', 'NXR')",,False,False,False,False
"('NUV', 'NPV')",,False,False,False,False
"('NUO', 'NAC')",,False,False,False,False
"('NAD', 'NKX')",,False,False,False,False
"('NVG', 'NEA')",,False,False,False,False
"('NRK', 'NEA')",,False,False,False,False
"('NKX', 'NNY')",,False,False,False,False
"('NXC', 'NUW')",,False,False,False,False
"('NAZ', 'NIQ')",,False,False,False,False
"('NMZ', 'NZF')",,True,False,False,False
"('NIM', 'NCB')",,False,False,False,False
"('NMT', 'NNY')",,False,True,False,False
"('NUV', 'NYV')",,False,False,True,False
"('NMY', 'NMT')",,False,False,False,False
"('NOM', 'NIM')",,False,False,False,False
"('DIAX', 'JCE')",,False,False,False,False
"('NMZ', 'NJV')",,True,False,False,False
"('NMZ', 'NXR')",,False,False,False,False
"('NUW', 'NCB')",,True,False,True,False
"('NPV', 'NKG')",,True,False,False,False
"('NXP', 'NIM')",,False,False,False,False
"('NMI', 'NEA')",,False,False,False,False
"('NIQ', 'NEA')",,True,False,False,False
"('NMY', 'NID')",,False,False,False,False
"('NMZ', 'NUO')",,False,False,False,False
"('NZF', 'NIQ')",,False,False,False,False
"('NXC', 'NNY')",,False,True,False,False
"('NMY', 'NAZ')",,False,False,False,False
"('NPN', 'NMS')",,False,False,False,True
"('NKG', 'NIQ')",,False,False,False,False
"('BGY', 'BGT')",,False,False,False,False
"('NCA', 'NVG')",,False,False,False,False
"('NXN', 'NAZ')",,True,False,False,False
"('NMY', 'NIQ')",,False,True,False,False
"('NIQ', 'NRK')",,False,False,False,False
"('NZF', 'NAD')",,False,False,False,False
"('NKX', 'NQP')",,False,False,False,True
"('NUM', 'NKG')",,True,False,False,False
"('NTX', 'NUW')",,False,False,False,True
"('NTX', 'NVG')",,False,False,False,False
"('NMY', 'NZF')",,False,False,False,False
"('NXN', 'NUW')",,False,False,True,False
"('NMS', 'NEA')",,False,False,False,False
"('NEV', 'NKX')",,False,False,False,False
"('NIM', 'NRK')",,False,False,False,False
"('NXN', 'NAN')",,False,False,False,True
"('NMY', 'NJV')",,False,False,False,False
"('NID', 'NAZ')",,False,False,False,False
"('NXQ', 'NQP')",,False,False,False,True
"('NEA', 'NXJ')",,False,False,False,False
"('NID', 'NIM')",,False,False,False,False
"('NZF', 'NMT')",,False,False,False,False
"('NMZ', 'NXN')",,False,False,False,False
"('NKG', 'NIM')",,False,False,False,False
"('NXC', 'NJV')",,False,False,False,False
"('NUO', 'NCB')",,False,False,False,False
"('NID', 'NUW')",,False,False,False,False
"('NVG', 'NKG')",,False,False,False,False
"('NMT', 'NAN')",,False,True,False,False
"('NTX', 'NXR')",,False,False,False,False
"('NMI', 'NIQ')",,False,False,False,False
"('NID', 'NXJ')",,False,False,False,True
"('QQQX', 'SPXX')",,False,False,False,False
"('NVG', 'NRK')",,False,False,False,False
"('NUM', 'NNY')",,False,True,False,False
"('NMT', 'NUW')",,False,True,False,False
"('NUV', 'NXP')",,True,False,True,False
"('NKG', 'NXJ')",,True,False,False,False
"('NXN', 'NMI')",,False,False,False,True
"('NMY', 'NPN')",,False,False,False,False
"('NEV', 'NEA')",,False,False,False,False
"('NUM', 'NXP')",,False,False,False,False
"('NMZ', 'NMI')",,False,True,False,False
"('NMZ', 'NPV')",,False,False,False,False
"('NPN', 'NID')",,False,False,False,False
"('NTX', 'NIM')",,False,False,False,False
"('NXC', 'NQP')",,False,False,False,False
"('NUW', 'NXR')",,True,False,False,False
"('NAN', 'NKG')",,False,False,True,False
"('NHA', 'NYV')",,True,False,True,True
"('NXN', 'NEV')",,False,True,False,False
"('NID', 'NCB')",,False,True,False,False
"('NCA', 'NID')",,False,False,False,False
"('NUV', 'NCB')",,False,False,True,False
"('NEV', 'NAN')",,False,False,False,False
"('NHA', 'NMI')",,True,False,False,False
"('NPN', 'NPV')",,False,False,False,False
"('NXQ', 'NCB')",,False,False,False,False
"('NPV', 'NIM')",,False,False,False,False
"('NMI', 'NKX')",,False,False,False,False
"('NAN', 'NXQ')",,False,False,False,False
"('HYT', 'BME')",,False,False,False,False
"('NIQ', 'NXR')",,False,False,False,False
"('NCA', 'NMT')",,False,False,False,False
"('NIQ', 'NMS')",,False,False,False,False
"('NAZ', 'NQP')",,False,False,False,False
"('NXN', 'NAC')",,False,True,False,False
"('NVG', 'NUM')",,False,False,False,False
"('NQP', 'NUO')",,True,False,False,True
"('NIQ', 'NXJ')",,False,False,False,False
"('NMZ', 'NPN')",,False,False,False,False
"('NIM', 'NAC')",,False,False,False,True
"('NAD', 'NAC')",,False,False,False,False
"('NMZ', 'NEA')",,True,False,False,True
"('NXN', 'NQP')",,False,False,False,False
"('NXQ', 'NNY')",,False,False,False,False
"('NEV', 'NIQ')",,False,False,False,False
"('NIQ', 'NCB')",,False,False,False,False
"('NAZ', 'NJV')",,False,False,False,False
"('NZF', 'NXP')",,False,False,False,False
"('NUV', 'NIM')",,True,False,False,False
"('NZF', 'NNY')",,False,False,False,False
"('NHA', 'NXQ')",,True,False,True,True
"('NHA', 'NXP')",,True,False,False,False
"('NVG', 'NJV')",,True,False,False,False
"('NPN', 'NKG')",,False,False,False,False
"('NPN', 'NXQ')",,False,False,False,False
"('NMT', 'NKX')",,False,True,False,False
"('NPN', 'NEA')",,False,False,False,False
"('NID', 'NRK')",,True,False,False,False
"('NKG', 'NRK')",,False,False,False,False
"('NUW', 'NXJ')",,False,False,True,False
"('NMI', 'NUW')",,False,True,False,False
"('NTX', 'NUO')",,False,False,True,False
"('NZF', 'NCB')",,False,False,True,False
"('QQQX', 'JCE')",,False,False,False,False
"('NAZ', 'NNY')",,False,False,False,False
"('NXN', 'NVG')",,False,True,True,False
"('NMZ', 'NXP')",,False,False,False,False
"('HYT', 'BGT')",,False,False,False,False
"('NXN', 'NXP')",,False,True,False,False
"('NUM', 'NMI')",,False,False,False,False
"('SYBX', 'MRSN')",,False,False,False,False
"('NXC', 'NAC')",,False,False,False,False
"('NOM', 'NJV')",,False,False,False,False
"('NTX', 'NRK')",,False,False,False,False
"('NVG', 'NCB')",,False,False,True,False
"('NMZ', 'NEV')",,False,False,False,False
"('NPV', 'NAD')",,False,False,False,False
"('BLW', 'BGT')",,False,False,False,False
"('NID', 'NUO')",,True,False,False,False
"('NYV', 'NIQ')",,False,True,False,False
"('NMZ', 'NUV')",,False,False,False,False
"('NXP', 'NJV')",,False,False,False,False
"('NTX', 'NEA')",,False,False,False,False
"('NOM', 'NXJ')",,False,False,False,False
"('NXQ', 'NAC')",,False,False,False,False
"('NXN', 'NCB')",,False,False,True,False
"('NXC', 'NIQ')",,False,True,False,False
"('NUV', 'NUM')",,False,False,False,False
"('NXN', 'NYV')",,False,True,False,False
"('NKX', 'NAC')",,False,False,False,False
"('NMZ', 'NMS')",,False,False,False,False
"('NAN', 'NIQ')",,False,False,False,True
"('NZF', 'NQP')",,False,False,False,False
"('NPN', 'NHA')",,False,False,False,False
"('JTD', 'DIAX')",,False,False,False,False
"('NEV', 'NUW')",,False,False,False,False
"('NQP', 'NEA')",,True,False,False,True
"('NVG', 'NXQ')",,False,False,False,False
"('NZF', 'NPV')",,False,False,True,False
"('NUV', 'NEA')",,False,False,True,False
"('NKX', 'NIQ')",,False,False,False,False
"('NEV', 'NJV')",,False,False,False,False
"('NMT', 'NMS')",,False,True,False,False
"('NAD', 'NXJ')",,False,False,True,False
"('NHA', 'NAD')",,True,False,True,False
"('NMY', 'NUW')",,False,False,True,False
"('NXN', 'NZF')",,False,False,False,False
"('NAD', 'NUW')",,False,True,True,False
"('NHA', 'NAZ')",,True,False,False,True
"('NVG', 'NQP')",,False,False,False,False
"('NPN', 'NXJ')",,False,False,False,False
"('NPN', 'NMT')",,False,False,False,True
"('BTZ', 'BME')",,False,True,False,False
"('NPN', 'NNY')",,False,False,False,False
"('NMZ', 'NAD')",,True,False,False,False
"('NXQ', 'NRK')",,False,True,False,False
"('NEV', 'NCB')",,False,False,False,False
"('NPN', 'NKX')",,False,True,False,False
"('NVG', 'NXR')",,False,False,False,False
"('NMY', 'NHA')",,False,False,False,False
"('NMZ', 'NXC')",,False,False,False,True
"('NCA', 'NQP')",,False,False,True,False
"('JTD', 'SPXX')",,False,False,False,False
"('NMY', 'NRK')",,False,False,False,False
"('NMZ', 'NAZ')",,False,False,False,False
"('NKX', 'NRK')",,True,False,False,False
"('NNY', 'NUO')",,True,False,False,False
"('NMZ', 'NTX')",,False,False,False,False
"('NIM', 'NUO')",,False,False,False,False
"('NPN', 'NUM')",,False,False,False,False
"('NUW', 'NJV')",,True,False,False,True
"('NID', 'NXR')",,False,False,False,False
"('NTX', 'NXJ')",,False,False,True,False
"('NEV', 'NXP')",,False,True,False,False
"('NOM', 'NEA')",,False,False,False,False
"('NMI', 'NJV')",,False,False,False,False
"('NMZ', 'NKX')",,False,False,False,True
"('NMS', 'NCB')",,False,False,False,False
"('NCA', 'NUM')",,False,False,True,False
"('NAZ', 'NXJ')",,False,False,False,False
"('NQP', 'NMS')",,False,False,False,False
"('NEV', 'NXQ')",,True,False,False,False
"('NHA', 'NKX')",,True,False,True,False
"('NID', 'NMT')",,False,False,False,False
"('NEV', 'NPV')",,False,False,False,False
"('NKG', 'NUW')",,False,False,False,True
"('NMI', 'NCB')",,False,False,False,False
"('NZF', 'NXC')",,False,False,False,False
"('NZF', 'NVG')",,True,False,True,False
"('NPV', 'NQP')",,False,True,False,True
"('NMY', 'NXQ')",,False,False,False,False
"('NAZ', 'NYV')",,True,False,False,False
"('NQP', 'NCB')",,False,False,False,False
"('NAD', 'NOM')",,False,False,False,False
"('NTX', 'NMT')",,False,False,False,False
"('NUM', 'NXC')",,False,False,False,False
"('NKX', 'NJV')",,False,False,False,False
"('NXP', 'NNY')",,False,False,False,False
"('NIQ', 'NNY')",,False,True,False,False
"('NHA', 'NOM')",,True,False,False,False
"('NAN', 'NEA')",,False,False,False,False
"('NUW', 'NRK')",,False,False,False,False
"('NHA', 'NQP')",,True,False,True,True
"('NMZ', 'NID')",,False,True,False,False
"('NPN', 'NMI')",,False,False,False,False
"('NXN', 'NCA')",,False,False,False,False
"('NKX', 'NUO')",,True,False,False,False
"('NMT', 'NMI')",,False,False,False,False
"('BGY', 'BME')",,False,False,False,False
"('NID', 'NMS')",,False,False,False,False
"('NUV', 'NVG')",,False,False,False,False
"('NXP', 'NUW')",,False,False,False,False
"('NNY', 'NXJ')",,True,False,True,True
