pair,2017Q4,2018Q1
"('GTT', 'APGI')",False,False
"('NMFC', 'EAT')",False,False
"('TBPH', 'EMPR')",False,False
"('ADX', 'TTI')",False,False
"('KLAC', 'EEX')",False,False
"('H', 'ABAX')",False,False
"('CISN', 'ICBK')",False,False
"('INAP', 'EXLS')",False,False
"('CRVS', 'SEB')",False,False
"('KBH', 'XPO')",False,False
"('CTIC', 'DPDW')",False,False
"('JCS', 'GSBC')",False,True
"('CUBI', 'ATEN')",False,False
"('APLE', 'LUNA')",False,False
"('NDSN', 'HLI')",False,False
"('PNNT', 'ZEUS')",False,False
"('AOSL', 'CUBI')",False,False
"('LDL', 'MTX')",False,False
"('CKH', 'MMMB')",False,False
"('APVO', 'AOSL')",False,False
"('TIPRX', 'MXIM')",False,False
"('MSI', 'JBT')",True,False
"('CTXR', 'FBHS')",False,False
"('TRCH', 'GWW')",False,False
"('CC', 'BLPH')",False,False
"('TWMC', 'EFSC')",True,False
"('ASA', 'LNC')",False,True
"('CADCX', 'GWRE')",False,False
"('EPZM', 'MET')",False,False
"('REGI', 'BTU')",False,False
"('ASUR', 'IAF')",False,False
"('AT', 'VABK')",False,False
"('HPQ', 'AVAV')",False,False
"('OKTA', 'ELON')",False,False
"('ROKU', 'STAY')",False,False
"('COSM', 'ERC')",False,False
"('TWIN', 'ALLE')",False,False
"('APH', 'MATW')",False,False
"('SRPT', 'BIIB')",False,False
"('FIVE', 'UCFC')",False,False
"('VTR', 'VOXX')",False,False
"('BKK', 'GDV')",False,False
"('INSE', 'NC')",False,False
"('VVC', 'OHI')",False,False
"('TCP', 'PFE')",False,False
"('CWST', 'ASB')",False,False
"('NICK', 'HURC')",False,True
"('POWI', 'STLY')",False,False
"('CRSP', 'EMYB')",False,False
"('CGNX', 'SIEN')",False,False
"('THS', 'WTER')",False,True
"('EXD', 'XOXO')",False,False
"('DPW', 'PLYM')",False,False
"('CARO', 'SO')",False,True
"('ETY', 'AIZ')",False,False
"('BGIO', 'ALG')",False,False
"('AFSI', 'RMCF')",False,True
"('WTBA', 'VUZI')",False,False
"('SFE', 'MBWM')",False,False
"('IRBT', 'BGNE')",False,False
"('MOSY', 'JTPY')",False,False
"('ETN', 'DOV')",False,True
"('CVG', 'MNTX')",False,False
"('CNMD', 'CASM')",False,False
"('PGEM', 'HNRG')",True,False
"('VLP', 'GOOG')",False,False
"('RLMD', 'BHBK')",False,True
"('INTC', 'ISR')",False,False
"('TNH', 'BSF')",False,True
"('SEB', 'DBMM')",False,False
"('APEN', 'CSOD')",False,False
"('ETV', 'LOGM')",False,False
"('MGHL', 'CPK')",False,False
"('PNC', 'ESRT')",False,False
"('MSA', 'ESPR')",False,False
"('YUMC', 'BRG')",False,False
"('GLYC', 'TRMB')",False,False
"('IO', 'NWS')",False,False
"('THS', 'EPM')",False,False
"('OMEX', 'SRLP')",False,False
"('CHE', 'PRKR')",False,False
"('JKHY', 'IMMR')",False,False
"('SXI', 'AFL')",False,False
"('NGVC', 'EMGC')",False,False
"('SP', 'GSIT')",False,False
"('QTNT', 'WSCI')",False,False
"('ENVA', 'RCRIX')",False,False
"('SQBG', 'NSH')",False,False
"('DYNT', 'VECO')",False,False
"('SIEB', 'INTT')",False,False
"('MFA', 'ATUS')",False,False
"('ARCW', 'TYG')",False,False
"('IBOC', 'WAL')",False,False
"('RE', 'LJPC')",False,False
"('HURN', 'LRCX')",False,False
"('ECYT', 'NH')",True,False
"('SMRT', 'CROX')",False,False
"('KFS', 'TURN')",False,False
"('ORMP', 'BPMC')",False,False
"('CRMT', 'IMMR')",False,False
"('KERX', 'BZH')",False,False
"('ICAD', 'BXC')",False,False
"('RSPI', 'NFLX')",True,False
"('ZAIS', 'FUN')",False,False
"('PWON', 'OGEN')",False,False
"('CCXI', 'AINV')",False,False
"('ZNGA', 'GIFI')",False,False
"('FUL', 'LSCC')",False,True
"('SCHL', 'MET')",False,False
"('ETB', 'IMAX')",False,False
"('FFIC', 'GNMX')",False,False
"('RETA', 'GDDY')",False,False
"('RPM', 'BANF')",False,False
"('BYM', 'OMEX')",False,False
"('ATRS', 'CLCN')",False,False
"('CENX', 'BHB')",False,False
"('CNCG', 'FOLD')",True,True
"('LSXMA', 'NBN')",False,False
"('MTCH', 'CCL')",False,False
"('IPCC', 'UTG')",False,False
"('CLRO', 'SIEN')",False,False
"('CTXS', 'TROV')",False,False
"('BOH', 'RNVA')",False,False
"('UAA', 'CDW')",False,False
"('ETO', 'CUBI')",False,False
"('FR', 'VSH')",False,True
"('JILL', 'ACRX')",False,False
"('STMP', 'PULM')",False,False
"('GV', 'KN')",False,False
"('ICAD', 'CHGG')",False,False
"('INOV', 'LB')",False,False
"('ZIXI', 'FFNW')",False,False
"('DMLP', 'CASM')",False,False
"('NOA', 'GLP')",False,False
"('DSNY', 'JOE')",True,False
"('AMTD', 'IAF')",False,False
"('WWD', 'RBB')",False,False
"('SWN', 'SYNT')",False,False
"('COLB', 'LOB')",False,False
"('MFCO', 'RBCAA')",False,False
"('AIV', 'MZF')",False,False
"('FLEX', 'FNCB')",False,False
"('APGI', 'WKHS')",False,True
"('AFB', 'NWS')",False,False
"('CNDT', 'MTST')",False,False
"('VABK', 'DEL')",False,DISSOLVED
"('KBLM', 'AHPI')",False,False
"('CHDN', 'CLSD')",False,False
"('DXCM', 'EXLS')",False,False
"('SONC', 'HZO')",False,False
"('LB', 'URG')",False,True
"('KYE', 'GKOS')",False,False
"('VVI', 'EGIF')",False,False
"('EIGR', 'PATI')",False,False
"('MMSI', 'QEP')",False,False
"('IVDN', 'HQY')",False,False
"('TER', 'EOD')",False,False
"('CAPR', 'PLD')",False,False
"('COST', 'MRK')",False,False
"('POPE', 'BOKF')",False,False
"('VVV', 'HFWA')",False,False
"('FRME', 'MFON')",False,False
"('BSGM', 'QNST')",False,False
"('SRTS', 'KNX')",False,False
"('DECK', 'AJX')",False,False
"('ARCW', 'MLSS')",False,False
"('CPF', 'XRX')",False,False
"('SMIT', 'SNX')",False,False
"('NWN', 'MACK')",False,False
"('EQT', 'AIRT')",False,False
"('MDU', 'EVOL')",False,False
"('PCF', 'STQN')",False,False
"('LW', 'TRTC')",False,False
"('GOF', 'FI')",False,False
"('EBAY', 'DTRM')",False,False
"('TRNS', 'BNET')",False,False
"('REVG', 'AMZN')",False,False
"('FBNC', 'FAF')",False,False
"('COO', 'JBHT')",False,False
"('ETV', 'STX')",False,False
"('MKL', 'KEQU')",False,False
"('CHSCP', 'TRHC')",False,False
"('PENC', 'BG')",True,False
"('FHN', 'SLAB')",False,False
"('GIGM', 'GNL')",False,True
"('GLBR', 'NHF')",False,False
"('SHAK', 'WDR')",False,False
"('IIM', 'TREX')",False,False
"('SPWR', 'PUB')",False,False
"('XRM', 'ABCB')",False,False
"('GHL', 'HRI')",False,False
"('WNEB', 'FCO')",False,False
"('VMI', 'TXT')",False,False
"('NVCR', 'EPAY')",False,False
"('CYTR', 'EQIX')",False,False
"('LCI', 'COR')",False,False
"('SEB', 'PPR')",False,False
"('LECO', 'OHI')",False,False
"('NVTR', 'LIFE')",False,False
"('MTH', 'CE')",False,False
"('BYM', 'AVXS')",False,False
"('NCAP', 'ADSK')",False,False
"('KYN', 'DRI')",False,False
"('RXDX', 'BLCM')",False,DISSOLVED
"('CSX', 'CSBK')",False,False
"('CXH', 'FMAO')",False,False
"('AWI', 'BWP')",False,False
"('NTRA', 'BG')",False,False
"('GCBC', 'NTWK')",False,False
"('INT', 'MRTX')",False,False
"('XNCR', 'PG')",False,False
"('NNN', 'FSFG')",False,False
"('RPM', 'GRMN')",False,False
"('NFX', 'CHD')",False,False
"('VTA', 'CSPI')",False,False
"('AIRI', 'TLRA')",False,False
"('AMBA', 'CMD')",False,False
"('GLUU', 'PCRX')",False,True
"('CVGI', 'NKE')",False,False
"('AL', 'LODE')",False,False
"('ES', 'IBKR')",False,False
"('GULTU', 'CLNE')",False,False
"('SVU', 'NRT')",False,False
"('DS', 'INSI')",False,False
"('WWE', 'CASY')",False,False
"('KWR', 'ABCB')",False,False
"('ANDE', 'LPTH')",False,False
"('LM', 'CTL')",False,False
"('LEA', 'HCAP')",False,True
"('GPOR', 'CAG')",False,False
"('OKTA', 'AINC')",False,False
"('FIVE', 'CELH')",False,False
"('AUTO', 'W')",False,False
"('CVEO', 'CRY')",False,False
"('CDOR', 'MAIN')",False,True
"('INSE', 'DISH')",False,False
"('WMC', 'AKBA')",False,False
"('ABUS', 'AHC')",False,False
"('EPAM', 'TTD')",False,False
"('FSAM', 'REEMF')",False,False
"('CMTL', 'CRS')",True,False
"('GTHX', 'MAC')",False,False
"('BKGM', 'NPN')",False,False
"('COST', 'G')",False,False
"('JCP', 'WRB')",False,False
"('CBU', 'OCC')",False,False
"('CDOR', 'CACC')",False,False
"('MTH', 'PLD')",False,False
"('IPHI', 'ALGN')",False,False
"('PEI', 'DDD')",False,False
"('SMCI', 'NVAX')",False,False
"('CUB', 'EXG')",False,False
"('AMPG', 'ED')",True,False
"('SAFT', 'OUT')",True,False
"('AGX', 'AEIS')",False,False
"('NAC', 'ACBI')",False,False
"('CLSH', 'NLY')",False,False
"('PKTX', 'ARNA')",True,False
"('NVTR', 'UHAL')",False,False
"('RBCN', 'VSTM')",False,False
"('AMBA', 'EMYB')",False,False
"('AMTX', 'DCI')",False,False
"('ENCR', 'WIZP')",False,DISSOLVED
"('CRVS', 'NVCR')",False,False
"('LQ', 'ISD')",False,False
"('IRM', 'PRLX')",False,False
"('CCXI', 'HFC')",False,False
"('CNXR', 'DAR')",False,True
"('CR', 'BGC')",False,True
"('ORMP', 'TMP')",False,False
"('TDF', 'GBLI')",False,False
"('KLAC', 'TLRD')",False,False
"('RGUS', 'PWOD')",True,True
"('PII', 'WYNN')",False,False
"('SENS', 'AJG')",False,False
"('IVDN', 'QTNA')",False,False
"('SHBI', 'AABA')",False,False
"('CHMG', 'RAVN')",False,False
"('VKI', 'JBT')",False,False
"('PNNT', 'SF')",False,False
"('VYCO', 'WFCF')",True,True
"('SFBS', 'ATRO')",False,False
"('REEMF', 'DERM')",False,False
"('FRPT', 'EIGI')",False,False
"('MOSY', 'DLTH')",False,False
"('CBZ', 'AVGO')",False,False
"('JSD', 'JILL')",False,False
"('MYOS', 'LONE')",False,False
"('FAST', 'MLSS')",False,False
"('TZOO', 'ARMK')",False,False
"('TEP', 'PRPO')",False,False
"('EVHC', 'OCC')",False,False
"('PQG', 'BLW')",False,False
"('CLRB', 'MVEN')",False,True
"('CRTN', 'AGYS')",False,False
"('CBU', 'BXMT')",False,False
"('HTZ', 'COHN')",False,False
"('NEOG', 'CWST')",False,False
"('ACU', 'CYTR')",False,False
"('ABC', 'ALB')",False,False
"('VYGR', 'ARE')",False,False
"('BXC', 'WERN')",False,False
"('AGYS', 'SRF')",False,False
"('WRE', 'VYCO')",False,False
"('GRPN', 'VSLR')",False,False
"('GCI', 'TGLS')",False,False
"('SAIC', 'UTI')",False,False
"('MCK', 'SSNT')",False,False
"('ED', 'NRT')",False,False
"('FMBM', 'TNAV')",False,False
"('CB', 'CMP')",False,False
"('STRL', 'HCLP')",False,False
"('EE', 'GNL')",False,False
"('CLB', 'AMWD')",False,False
"('CFRX', 'CTB')",False,False
"('ASYS', 'BXP')",False,False
"('HDS', 'GF')",False,False
"('TUP', 'PEIX')",False,False
"('TRTX', 'NHC')",False,False
"('HSON', 'CRC')",False,DISSOLVED
"('STAR', 'ASTE')",False,False
"('YTEN', 'ENTL')",False,DISSOLVED
"('CFRX', 'XOMA')",False,False
"('JHB', 'RLJE')",False,False
"('EFX', 'MFON')",False,False
"('BSRR', 'S')",False,False
"('NBL', 'ENSV')",False,False
"('SAIA', 'XRX')",False,False
"('ZN', 'LINK')",False,False
"('SMHI', 'MDRX')",False,False
"('HAIN', 'UTL')",False,False
"('NCV', 'HMTV')",False,False
"('AMBS', 'ADES')",False,False
"('IPIX', 'ASUR')",False,False
"('CEE', 'FN')",False,False
"('ARAY', 'PK')",False,False
"('RLJE', 'SXC')",False,False
"('OMEX', 'RAVN')",False,False
"('TPL', 'OTEL')",False,False
"('IPDN', 'TIF')",False,False
"('EVI', 'VAC')",False,False
"('KLDX', 'CFMS')",False,False
"('XRAY', 'ISL')",True,False
"('TECD', 'ASRV')",False,False
"('MPWR', 'WMK')",False,False
"('HAIN', 'MFM')",False,False
"('AROC', 'CI')",False,False
"('ABTX', 'AAME')",False,False
"('GAIA', 'WHLM')",False,False
"('FMCB', 'EMRN')",False,False
"('ACGL', 'CMCT')",False,False
"('SAVE', 'NWHM')",False,False
"('AVEO', 'MYOV')",False,False
"('WTI', 'DIT')",False,False
"('GGG', 'DRE')",False,False
"('TRMT', 'RARX')",False,False
"('BLKB', 'LUNA')",False,False
"('BBW', 'TTMI')",False,False
"('FDS', 'SLB')",False,False
"('GAM', 'LCII')",False,True
"('WARM', 'SIEN')",False,False
"('SUI', 'ABE')",True,False
"('FITB', 'BLSP')",False,True
"('UHS', 'PTIX')",False,False
"('SPWR', 'VSTO')",False,False
"('JSD', 'IDGC')",False,False
"('BFGC', 'IOVA')",False,True
"('CAT', 'RP')",False,False
"('APO', 'INFN')",False,False
"('ISIG', 'IPDN')",False,False
"('XCRA', 'VSLR')",False,False
"('HCSG', 'ZN')",False,True
"('FDP', 'MYDP')",True,False
"('FTXP', 'DGTW')",False,False
"('NSA', 'PFBI')",False,False
"('NVCR', 'TEP')",False,False
"('OSBC', 'TREC')",False,False
"('ARKR', 'CONE')",False,False
"('RSYS', 'MRIN')",True,False
"('ADMA', 'INS')",False,False
"('UEC', 'FBIZ')",False,False
"('TZOO', 'ERII')",False,False
"('GHC', 'CMXC')",False,False
"('GCH', 'COHN')",False,False
"('LYV', 'BRK-A')",False,False
"('TACO', 'CUTR')",False,False
"('LMAT', 'IRT')",True,False
"('NANX', 'FLIC')",False,True
"('GROW', 'WSFS')",False,False
"('SMID', 'RNDB')",False,False
"('APOG', 'KLXI')",True,False
"('NBR', 'SOI')",False,False
"('DXR', 'SCG')",False,False
"('RAVE', 'VEEV')",False,False
"('MBII', 'CWBC')",False,False
"('WEX', 'SAIA')",False,False
"('ASPU', 'DLHC')",False,False
"('EGRX', 'ZUMZ')",False,False
"('ARTW', 'EMMS')",False,False
"('NVFY', 'CUBI')",False,False
"('FLGT', 'CXE')",False,False
"('GAB', 'AAOI')",False,False
"('WWW', 'PENC')",False,True
"('NSA', 'GLU')",False,False
"('CLAR', 'LOB')",False,False
"('ISR', 'AHH')",False,False
"('BFAM', 'FBK')",False,False
"('FDX', 'NEWT')",False,False
"('RXDX', 'GHC')",False,DISSOLVED
"('AT', 'SMED')",True,False
"('ABM', 'CELH')",False,False
"('ANET', 'NFG')",False,False
"('MVEN', 'ACUR')",False,False
"('ASG', 'H')",False,False
"('GOLF', 'MUR')",False,False
"('CVX', 'EVR')",False,False
"('FBHS', 'DCPH')",False,False
"('DXLG', 'TERP')",True,False
"('DY', 'MED')",False,False
"('HRZN', 'BTZ')",False,False
"('TRUP', 'DHX')",False,False
"('DVMT', 'CTS')",False,False
"('HDP', 'EXLS')",False,False
"('SNDR', 'FCF')",False,False
"('EVTC', 'ONDK')",False,False
"('INVH', 'WLL')",False,False
"('QLYS', 'HHS')",False,False
"('H', 'RMNI')",False,True
"('UTX', 'MTX')",False,False
"('NP', 'FB')",False,False
"('EQR', 'RYI')",False,False
"('QNBC', 'RCMT')",False,False
